log_id	timestamp	user_id	country	device_type	session_duration_mins	purchase_amount	churn_risk	user_feedback	os_version
L-90231	2026-05-01 08:00:00	USR-1409	Germany	Desktop	41.1	193.33	True	NULL	10.0
L-90232	2026-05-01 08:45:00	USR-4257	France	Mobile	48.9	NULL	True	Satisfied with the quality, thanks.	11.0
L-90233	2026-05-01 09:02:00	USR-2674	India	Mobile	NULL	364.36	False	Premium quality, highly recommend to everyone!	v14.2.1
L-90234	2026-05-01 09:24:00	USR-6925	Singapore	Desktop	14.8	109.35	True	Slow loading times, fix it.	15.0
L-90235	2026-05-01 09:20:00	USR-7065	Japan	Desktop	41.5	NULL	True	Excellent selection, but expensive.	16.0
L-90236	2026-05-01 10:15:00	USR-4598	Japan	Desktop	twelve	411.43	False	Very intuitive, love it.	16.0
L-90236	2026-05-01 10:15:00	USR-4598	Japan	Desktop	twelve	411.43	False	Very intuitive, love it.	16.0
L-90238	2026-05-01 10:13:00	USR-3621	Brazil	Tablet	NULL	240.92	True	Just browsing, looks okay.	15.0
L-90239	2026-05-01 12:08:00	USR-2827	Germany	Mobile	error_time	228.26	True	Just browsing, looks okay.	15.0
L-90240	2026-05-01 14:18:00	USR-4258	Canada	Mobile	47.0	error	False	NULL	15.0
L-90241	2026-05-01 12:10:00	USR-1949	United Kingdom	Tablet	29.9	NULL	True	NULL	11.0
L-90242	2026-05-01 12:46:00	USR-9645	Singapore	Mobile	45.7	183.15	False	It's fine, does the job.	11.0
L-90243	2026-05-01 12:48:00	USR-2049	Japan	Desktop	14.4	NULL	True	App crashed, very frustrated!	10.0
L-90244	2026-05-01 17:06:00	USR-4899	Germany	Tablet	43.8	113.88	False	Won't open, deleting immediately.	v14.2.1
L-90245	2026-05-01 16:38:00	USR-6804	Brazil	Mobile	40.9	184.76	False	Just browsing, looks okay.	11.0
L-90246	2026-05-01 19:00:00	USR-8350	Canada	Mobile	52.7	NULL	True	NULL	10.0
L-90247	2026-05-01 12:00:00	USR-4872	Canada	Mobile	25.0	NULL	False	NULL	16.0
